Kategori,Kode Paket,Nama Paket,Tanggal Pembuatan,Tahap Paket Saat Ini,K/L/PD/Instansi Lainnya,Satuan Kerja,Jenis Pengadaan,Metode Pengadaan,Khusus Orang Asli Papua (OAP),Tahun Anggaran,Nilai Pagu (dalam Rupiah),Nilai HPS (dalam Rupiah),Jenis Kontrak,Lokasi Pekerjaan,Jumlah Peserta,Pemenang Berkontrak,URL
nontender,10087679000,"Belanja Jasa Konsultansi Penyusunan Dokumen Buku Rencana (Materi Teknis) dan Album Peta Rencana Detail Tata Ruang (RDTR) Perkotaan Kecamatan PURWANTORO, Sub Kegiatan Penyusunan RDTR Kabupaten/Kota, Dispera dan KPP Kabupaten Wonogiri",19 Maret 2025,Paket Sudah Selesai,Kab. Wonogiri,DINAS PERUMAHAN RAKYAT DAN KAWASAN PEMUKIMAN DAN PERTANAHAN,Jasa Konsultansi Badan Usaha Non Konstruksi,Pengadaan Langsung,false,APBD 2025,98573000,98573000,Lumsum,Dispera dan KPP - Wonogiri (Kab.),1 peserta,PT URBAN SPASIAL INDONESIA,https://spse.inaproc.id/wonogirikab/nontender/10087679000/pengumumanpl
nontender,10503656000,"Belanja Rehab Bangunan Gedung Kantor Kelurahan Wonokarto, Kecamatan Wonogiri",23 Oktober 2025,Paket Sudah Selesai,Kab. Wonogiri,KECAMATAN WONOGIRI,Pekerjaan Konstruksi,Pengadaan Langsung,false,APBD 2025,15468080,15434000,Harga Satuan,Kecamatan Wonogiri - Wonogiri (Kab.),1 peserta,CV ATHA KINARYA,https://spse.inaproc.id/wonogirikab/nontender/10503656000/pengumumanpl
nontender,10026500000,Belanja Jasa Konversi Aplikasi/Sistem Informasi Sub Kegiatan Pengelolaan Nama Domain dan Sub Domain Penyelenggaraan Pemerintah Daerah dan Pengelolaan Nama Domain Pemerintah Desa Diskominfo Kab Wonogiri,6 Desember 2024,Paket Sudah Selesai,Kab. Wonogiri,DINAS KOMUNIKASI DAN INFORMATIKA,Jasa Lainnya,Pengadaan Langsung,false,APBD 2025,135000000,134038050,Lumsum,Diskominfo Kab. Wonogiri - Wonogiri (Kab.),1 peserta,PT. DES TEKNOLOGI INFORMASI,https://spse.inaproc.id/wonogirikab/nontender/10026500000/pengumumanpl
nontender,10272723000,"Jasa Konsultansi DED Rehabilitasi Jaringan Irigasi, Sub Kegiatan Penyusunan Rencana Teknis dan Dokumen Lingkungan Hidup Untuk Konstruksi Irigasi dan Rawa, Dinas Pekerjaan Umum Kabupaten Wonogiri",21 Juli 2025,Paket Sudah Selesai,Kab. Wonogiri,DINAS PEKERJAAN UMUM,Jasa Konsultansi Badan Usaha Konstruksi,Pengadaan Langsung,false,APBD 2025,90000000,89700000,Lumsum,"DI Eromoko Desa/ Kel. Eromoko, Kecamatan Eromoko - Wonogiri (Kab.) DI Panekan Desa/ Kel. Panekan, Kecamatan Eromoko - Wonogiri (Kab.) DI Beton Desa/ Kel. Tubokarto, Kecamatan Pracimantoro - Wonogiri (Kab.) DI Grojogan, Desa/ Kel. Karanglo, Kecamatan Manyaran - Wonogiri (Kab.) DI Kepatihan, Desa/ Kel. Pule, Kecamatan Selogiri - Wonogiri (Kab.)",1 peserta,Inti barokah,https://spse.inaproc.id/wonogirikab/nontender/10272723000/pengumumanpl
nontender,10388851000,Belanja Pemeliharaan Bangunan Gedung-Bangunan Gedung Tempat Kerja-Bangunan Gedung Kantor sub kegiatan Pemeliharaan/Rehabilitasi Sarana dan Prasarana Pendukung Gedung Kantor atau Bangunan Lainnya di Dinas Pertanian Kab Wonogiri,11 September 2025,Paket Sudah Selesai,Kab. Wonogiri,DINAS PERTANIAN,Pekerjaan Konstruksi,Pengadaan Langsung,false,APBD 2025    APBD 2025,129907122,129886683,Harga Satuan,Kabupaten Wonogiri - Wonogiri (Kab.) Kabupaten Wonogiri - Wonogiri (Kab.),1 peserta,CV Pima Konstruksi,https://spse.inaproc.id/wonogirikab/nontender/10388851000/pengumumanpl
nontender,10266098000,"Rehabilitasi Jaringan Irigasi DI. Kenti Kecamatan Purwantoro (Terdampak Pembangunan RSUD Purwantoro), Sub Kegiatan Rehabilitasi Jaringan Irigasi Permukaan, Dinas Pekerjaan Umum Kabupaten Wonogiri",17 Juli 2025,Paket Sudah Selesai,Kab. Wonogiri,DINAS PEKERJAAN UMUM,Pekerjaan Konstruksi,Pengadaan Langsung,false,APBD 2025,361798200,357774700,Harga Satuan,"DI. Kenti, Desa Biting, Kecamatan Purwantoro - Wonogiri (Kab.)",1 peserta,cv bengawan abadi,https://spse.inaproc.id/wonogirikab/nontender/10266098000/pengumumanpl
nontender,10373565000,"Jasa Konsultansi Survey Dan Pemetaan Potensi Air Sub Kegiatan Pembangunan, Rehabilitasi dan Pemeliharaan Prasarana Pertanian Lainnya (Sumur Bor) Kabupaten Wonogiri Tahun Anggaran 2025 Paket Gagal",4 September 2025,Paket Sudah Selesai,Kab. Wonogiri,DINAS PERTANIAN,Jasa Konsultansi Badan Usaha Non Konstruksi,Pengadaan Langsung,false,APBD 2025,100000000,99997625,Lumsum,Kabupaten Wonogiri - Wonogiri (Kab.),1 peserta,Tidak ada,https://spse.inaproc.id/wonogirikab/nontender/10373565000/pengumumanpl
nontender,10141310000,"BELANJA JASA KONSULTANSI KONSTRUKSI PERANCANGAN REVIEW DED REVITALISASI PASAR SLOGOHIMO SUB KEGIATAN FASILITASI PENGELOLAAN SARANA DISTRIBUSI PERDAGANGAN BIDANG PENGELOLAAN PASAR DINAS PERDAGANGAN DAN KOPERASI, USAHA KECIL DAN MENEGAH KABUPATEN WONOGIRI TAHUN 2025",16 Mei 2025,Paket Sudah Selesai,Kab. Wonogiri,"DINAS PERDAGANGAN DAN KOPERASI, USAHA KECIL DAN MENENGAH",Jasa Konsultansi Badan Usaha Konstruksi,Pengadaan Langsung,false,APBDP 2025,55000000,54834000,Lumsum,Pasar Slogohimo - Wonogiri (Kab.),1 peserta,PT WASTU WIDYA WASESA,https://spse.inaproc.id/wonogirikab/nontender/10141310000/pengumumanpl
nontender,10373666000,"Belanja Jasa Konsultasi Non Konstruksi, Belanja Jasa Konsultansi Berorientasi Layanan Jasa Studi Penelitian dan Bantuan Teknik Belanja Jasa Konsultansi Perencanaan (Jasa Appraisal untuk Tanah Pembangunan SMKN Karangtengah) , Sub Kegiatan Koordinasi dan Sinkronisasi Penyelesaian Masalah Ganti Kerugian dan Santunan Tanah untuk Pembangunan oleh Pemerintah Daerah Kabupaten/Kota, Dispera dan KPP Kabupaten Wonogiri",4 September 2025,Paket Sudah Selesai,Kab. Wonogiri,DINAS PERUMAHAN RAKYAT DAN KAWASAN PEMUKIMAN DAN PERTANAHAN,Jasa Konsultansi Badan Usaha Non Konstruksi,Pengadaan Langsung,false,APBD 2025,75000000,74918000,Lumsum,Dispera dan KPP - Wonogiri (Kab.),1 peserta,KJPP Sih Wiryadi & Rekan,https://spse.inaproc.id/wonogirikab/nontender/10373666000/pengumumanpl
nontender,10272725000,"Jasa Konsultansi Perencanaan DED Rehabiltasi Jaringan Irigasi, Sub Kegiatan Rehabilitasi Jaringan Irigasi Permukaan, Dinas Pekerjaan Umum Kabupaten Wonogiri",21 Juli 2025,Paket Sudah Selesai,Kab. Wonogiri,DINAS PEKERJAAN UMUM,Jasa Konsultansi Badan Usaha Konstruksi,Pengadaan Langsung,false,APBD 2025,80000000,79900000,Lumsum,"DI Ngancar Desa/ Kel. Sedayu, Kecamatan Pracimantoro - Wonogiri (Kab.) DI jendi Desa/ Kel. Tambakmerang, Kecamatan Girimarto - Wonogiri (Kab.) DI Dawungan Desa/ Kel. Cangkring, Kecamatan Jatiroto - Wonogiri (Kab.) DI Kebonagung Desa/ Kel. Ngunggahan, Kecamatan Eromoko - Wonogiri (Kab.)",1 peserta,PT WASTU WIDYA WASESA,https://spse.inaproc.id/wonogirikab/nontender/10272725000/pengumumanpl
