Kategori,Kode Swakelola,Nama Swakelola,Tanggal Pembuatan,K/L/PD,Satuan Kerja,Tahun Anggaran,Nilai Pagu Paket (dalam Rupiah),Realisasi,URL
swakelola,10148652000,Rabat Jalan Ngrombo RT 03 RW 04 Kelurahan Girikikis sub kegiatan Pembangunan Sarana dan Prasarana Kelurahan Kecamatan Giriwoyo,18 Agustus 2025,Kab. Wonogiri,KECAMATAN GIRIWOYO,APBD 2025,49999575,"1. Jenis: BAST
Nilai: Rp. 24.999.787,00
Tanggal: 2025-08-22 00:00:00 +0000 UTC
2. Jenis: Surat Perjanjian
Nilai: Rp. 24.999.788,00
Tanggal: 2025-08-19 00:00:00 +0000 UTC",https://spse.inaproc.id/wonogirikab/swakelola/10148652000/pengumuman
swakelola,10088874000,Belanja Perjalanan Dinas Dalam Kota Sub Kegiatan Penyelenggaraan Rapat Koordinasi dan Konsultasi SKPD Dinas Penanaman Modal Dan Pelayanan Terpadu Satu Pintu Kabupaten Wonogiri,6 Februari 2025,Kab. Wonogiri,DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU,APBD 2025,1187500,"1. Jenis: Kuitansi A2
Nilai: Rp. 440.000,00
Tanggal: 2025-01-30 00:00:00 +0000 UTC",https://spse.inaproc.id/wonogirikab/swakelola/10088874000/pengumuman
swakelola,10088876000,Belanja Perjalanan Dinas Biasa Sub Kegiatan Penyelenggaraan Rapat Koordinasi dan Konsultasi SKPD Dinas Penanaman Modal Dan Pelayanan Terpadu Satu Pintu Kabupaten Wonogiri,6 Februari 2025,Kab. Wonogiri,DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU,APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025,48812500,"1. Jenis: Kuitansi A2
Nilai: Rp. 1.510.000,00
Tanggal: 2025-01-30 00:00:00 +0000 UTC",https://spse.inaproc.id/wonogirikab/swakelola/10088876000/pengumuman
swakelola,10113293000,Belanja Perjalanan Dinas Dalam Kota Sub Kegiatan Penyediaan dan pengelolaan Layanan konsultasi perizinan berusaha berbasis risiko Dinas Penanaman Modal Dan Pelayanan Terpadu Satu Pintu Kabupaten Wonogiri,26 Mei 2025,Kab. Wonogiri,DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU,APBD 2025,2050000,"1. Jenis: Kuitansi A2
Nilai: Rp. 200.000,00
Tanggal: 2025-05-28 00:00:00 +0000 UTC",https://spse.inaproc.id/wonogirikab/swakelola/10113293000/pengumuman
swakelola,10092115000,Belanja Perjalanan Dinas Dalam Kota Sub Kegiatan Penyelenggaraan Rapat Koordinasi dan Konsultasi SKPD Dinas Penanaman Modal Dan Pelayanan Terpadu Satu Pintu Kabupaten Wonogiri,19 Februari 2025,Kab. Wonogiri,DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU,APBD 2025,1187500,"1. Jenis: Kuitansi A2
Nilai: Rp. 150.000,00
Tanggal: 2025-02-10 00:00:00 +0000 UTC",https://spse.inaproc.id/wonogirikab/swakelola/10092115000/pengumuman
swakelola,10162141000,Belanja Perjalanan Dinas Dalam Kota Sub Kegiatan Penyelenggaraan Rapat Koordinasi dan Konsultasi SKPD Dinas Penanaman Modal Dan Pelayanan Terpadu Satu Pintu Kabupaten Wonogiri,17 September 2025,Kab. Wonogiri,DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU,APBD 2025,2675000,"1. Jenis: Kuitansi A2
Nilai: Rp. 615.000,00
Tanggal: 2025-09-10 00:00:00 +0000 UTC",https://spse.inaproc.id/wonogirikab/swakelola/10162141000/pengumuman
swakelola,10162525000,Belanja Perjalanan Dinas Biasa Sub Kegiatan Penyelenggaraan Rapat Koordinasi dan Konsultasi SKPD Dinas Penanaman Modal Dan Pelayanan Terpadu Satu Pintu Kabupaten Wonogiri,17 September 2025,Kab. Wonogiri,DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU,APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025,22048300,"1. Jenis: Kuitansi A2
Nilai: Rp. 686.500,00
Tanggal: 2025-09-15 00:00:00 +0000 UTC",https://spse.inaproc.id/wonogirikab/swakelola/10162525000/pengumuman
swakelola,10088305000,"Belanja Perjalanan Dinas Biasa, Sub. Keg Penyelenggaraan Rapat Koordinasi dan Konsultasi SKPD, Setwan, Kab. Wonogiri",5 Februari 2025,Kab. Wonogiri,SEKRETARIAT DPRD,APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025,97308376,"1. Jenis: Kuitansi
Nilai: Rp. 2.220.000,00
Tanggal: 2025-04-10 00:00:00 +0000 UTC
2. Jenis: Kuitansi
Nilai: Rp. 193.500,00
Tanggal: 2025-03-11 00:00:00 +0000 UTC
3. Jenis: Kuitansi
Nilai: Rp. 500.000,00
Tanggal: 2025-01-30 00:00:00 +0000 UTC
4. Jenis: Kuitansi
Nilai: Rp. 258.000,00
Tanggal: 2025-03-12 00:00:00 +0000 UTC
5. Jenis: Kuitansi
Nilai: Rp. 628.000,00
Tanggal: 2025-01-13 00:00:00 +0000 UTC
6. Jenis: Kuitansi
Nilai: Rp. 740.000,00
Tanggal: 2025-01-20 00:00:00 +0000 UTC
7. Jenis: Kuitansi
Nilai: Rp. 2.220.000,00
Tanggal: 2025-01-30 00:00:00 +0000 UTC
8. Jenis: Kuitansi
Nilai: Rp. 3.330.000,00
Tanggal: 2025-01-31 00:00:00 +0000 UTC
9. Jenis: Kuitansi
Nilai: Rp. 125.000,00
Tanggal: 2025-01-23 00:00:00 +0000 UTC
10. Jenis: Kuitansi
Nilai: Rp. 2.960.000,00
Tanggal: 2025-02-10 00:00:00 +0000 UTC
11. Jenis: Kuitansi
Nilai: Rp. 337.500,00
Tanggal: 2025-01-31 00:00:00 +0000 UTC
12. Jenis: Kuitansi
Nilai: Rp. 470.000,00
Tanggal: 2025-03-18 00:00:00 +0000 UTC
13. Jenis: Kuitansi
Nilai: Rp. 1.850.000,00
Tanggal: 2025-02-26 00:00:00 +0000 UTC
14. Jenis: Kuitansi
Nilai: Rp. 158.000,00
Tanggal: 2025-03-21 00:00:00 +0000 UTC
15. Jenis: Kuitansi
Nilai: Rp. 193.500,00
Tanggal: 2025-02-24 00:00:00 +0000 UTC
16. Jenis: Kuitansi
Nilai: Rp. 2.870.000,00
Tanggal: 2025-04-10 00:00:00 +0000 UTC
17. Jenis: Kuitansi
Nilai: Rp. 387.000,00
Tanggal: 2025-03-19 00:00:00 +0000 UTC
18. Jenis: Kuitansi
Nilai: Rp. 2.220.000,00
Tanggal: 2025-04-10 00:00:00 +0000 UTC",https://spse.inaproc.id/wonogirikab/swakelola/10088305000/pengumuman
swakelola,10088587000,Belanja Perjalanan Dinas Dalam Kota Sub Kegiatan Penyediaan dan pengelolaan Layanan konsultasi perizinan berusaha berbasis risiko Dinas Penanaman Modal Dan Pelayanan Terpadu Satu Pintu Kabupaten Wonogiri,6 Februari 2025,Kab. Wonogiri,DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU,APBD 2025,855000,"1. Jenis: Kuitansi A2
Nilai: Rp. 215.000,00
Tanggal: 2025-01-23 00:00:00 +0000 UTC",https://spse.inaproc.id/wonogirikab/swakelola/10088587000/pengumuman
swakelola,10091802000,Belanja Perjalanan Dinas Biasa Sub Kegiatan Pelaksanaan Kegiatan Promosi Penanaman Modal Daerah Kabupaten/Kota Dinas Penanaman Modal Dan Pelayanan Terpadu Satu Pintu Kabupaten Wonogiri,17 Februari 2025,Kab. Wonogiri,DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU,APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025  APBD 2025,23640000,"1. Jenis: KUITANSI A2
Nilai: Rp. 5.180.050,00
Tanggal: 2025-02-10 00:00:00 +0000 UTC",https://spse.inaproc.id/wonogirikab/swakelola/10091802000/pengumuman
