Kategori,Kode Tender,Nama Tender,Tanggal Pembuatan,Tahap Tender Saat Ini,K/L/PD/Instansi Lainnya,Satuan Kerja,Jenis Pengadaan,Metode Pengadaan,Reverse Auction,Tahun Anggaran,Nilai Pagu (dalam Rupiah),Nilai HPS (dalam Rupiah),Jenis Kontrak,Lokasi Pekerjaan,Kualifikasi Usaha,Jumlah Peserta,Pemenang Berkontrak,URL
tender,10040113000,Belanja Modal Bangunan Gedung Kantor Sub Kegiatan Pengembangan Puskesmas ( Pembangunan Gedung Puskesmas Pembantu Puloharjo Kecamatan Eromoko /DAK Fisik 2025),2 Juni 2025,Tender Sudah Selesai,Kab. Wonogiri,DINAS KESEHATAN,Pekerjaan Konstruksi,Tender - Pascakualifikasi Satu File - Harga Terendah Sistem Gugur,Tender ini tidak menggunakan Reverse Auction,APBD 2025,680680000,680640579,Harga Satuan,Dinas Kesehatan Kabupaten Wonogiri - Wonogiri (Kab.),Kecil,53 peserta,MAHAKARSA KONSTRUKSI,https://spse.inaproc.id/wonogirikab/lelang/10040113000/pengumumanlelang
tender,10039860000,"Belanja Pembangunan Gedung Pustu Tanjungsari, Jatisrono (DAK Fisik) Sub Kegiatan Pengembangan Puskesmas Dinas Kesehatan Kabupaten Wonogiri 2025",1 Juni 2025,Tender Sudah Selesai,Kab. Wonogiri,DINAS KESEHATAN,Pekerjaan Konstruksi,Tender - Pascakualifikasi Satu File - Harga Terendah Sistem Gugur,Tender ini tidak menggunakan Reverse Auction,APBD 2025,680680000,679570000,Harga Satuan,Puskesmas Jatisrono 1 - Wonogiri (Kab.),Kecil,43 peserta,CV. JAYA KONSTRUKSI.,https://spse.inaproc.id/wonogirikab/lelang/10039860000/pengumumanlelang
tender,10052523000,Pembangunan Gedung RSUD Purwantoro,27 Juni 2025,Tender Sudah Selesai,Kab. Wonogiri,DINAS KESEHATAN,Pekerjaan Konstruksi,Tender - Pascakualifikasi Satu File - Harga Terendah Sistem Gugur,Tender ini tidak menggunakan Reverse Auction,APBD 2025     APBD 2025     APBD 2025,11065454550,11060583256,Harga Satuan,Dinas KEsehatan Kabupaten Wonogiri ( Pembangunan RSUD Purwantoro) - Wonogiri (Kab.) Dinas KEsehatan Kabupaten Wonogiri ( Pembangunan RSUD Purwantoro) - Wonogiri (Kab.) Dinas KEsehatan Kabupaten Wonogiri (pembangunan RSUD Purwantoro) - Wonogiri (Kab.),Kecil,80 peserta,Tidak ada,https://spse.inaproc.id/wonogirikab/lelang/10052523000/pengumumanlelang
tender,10061881000,Belanja Pemeliharaan Lapangan Tenis Pringgondani Kabupaten Wonogiri,21 Juli 2025,Tender Sudah Selesai,Kab. Wonogiri,DINAS KEPEMUDAAN DAN OLAHRAGA DAN PARIWISATA,Pekerjaan Konstruksi,Tender - Pascakualifikasi Satu File - Harga Terendah Sistem Gugur,Tender ini tidak menggunakan Reverse Auction,APBD 2025     APBD 2025,1110000000,1108451328,Harga Satuan,Sport Tourism Center Pringgondani Kabupaten Wonogiri - Wonogiri (Kab.) Wonogiri - Wonogiri (Kab.),Kecil,30 peserta,CV RAKSA SAKA UTAMA,https://spse.inaproc.id/wonogirikab/lelang/10061881000/pengumumanlelang
tender,10068509000,Peningkatan Jalan Baturetno - Glesung (Dana DIDF) Kecamatan Baturetno Kabupaten Wonogiri,6 Agustus 2025,Tender Sudah Selesai,Kab. Wonogiri,DINAS PEKERJAAN UMUM,Pekerjaan Konstruksi,Tender - Pascakualifikasi Satu File - Harga Terendah Sistem Gugur,Tender ini tidak menggunakan Reverse Auction,APBD 2025,2650000000,2448648000,Harga Satuan,"Ruas Jalan Jalan Baturetno - Glesung, Kecamatan Baturetno, Kabupaten Wonogiri - Wonogiri (Kab.)",Kecil,59 peserta,CV. KARYA ANGKASA,https://spse.inaproc.id/wonogirikab/lelang/10068509000/pengumumanlelang
tender,10057527000,Belanja Rehap Puskesmas Purwantoro 2 Sub Kegiatan Rehabilitasi dan Pemeliharaan Puskesmas Dinas Kesehatan Kabupaten Wonogiri 2025 Tender Gagal,10 Juli 2025,Tender Sudah Selesai,Kab. Wonogiri,DINAS KESEHATAN,Pekerjaan Konstruksi,Tender - Pascakualifikasi Satu File - Harga Terendah Sistem Gugur,Tender ini tidak menggunakan Reverse Auction,APBD 2025,444705000,444000000,Harga Satuan,Puskesmas Purwantoro 2 - Wonogiri (Kab.),Kecil,19 peserta,Tender Gagal,https://spse.inaproc.id/wonogirikab/lelang/10057527000/pengumumanlelang
tender,10063141000,Belanja Rehap Puskesmas Purwantoro 2 Sub Kegiatan Rehabilitasi dan Pemeliharaan Puskesmas Dinas Kesehatan Kabupaten Wonogiri 2025 Tender Ulang,23 Juli 2025,Tender Sudah Selesai,Kab. Wonogiri,DINAS KESEHATAN,Pekerjaan Konstruksi,Tender - Pascakualifikasi Satu File - Harga Terendah Sistem Gugur,Tender ini tidak menggunakan Reverse Auction,APBD 2025,444705000,444000000,Harga Satuan,Puskesmas Purwantoro 2 - Wonogiri (Kab.),Kecil,46 peserta,CV. BANGUN KARYA NUSANTARA,https://spse.inaproc.id/wonogirikab/lelang/10063141000/pengumumanlelang
tender,10048889000,"Belanja Modal Bangunan Gedung Kantor Paket 3 Rehab Balai Penyuluhan KB (Kecamatan Nguntoronadi, Batuwarno) Sub Kegiatan Fasilitasi Pelaksanaan Penyuluhan, Penggerakan, Pelayanan dan Pengembangan Program Bangga Kencana untuk Petugas Keluarga Berencana/Penyuluh Lapangan Keluarga Berencana (PKB/PLKB) Dinas PPKB dan P3A Kabupaten Wonogiri",19 Juni 2025,Tender Sudah Selesai,Kab. Wonogiri,DINAS PENGENDALIAN PENDUDUK DAN KB DAN PP DAN PA,Pekerjaan Konstruksi,Tender - Pascakualifikasi Satu File - Harga Terendah Sistem Gugur,Tender ini tidak menggunakan Reverse Auction,APBD 2025,450000000,448728000,Harga Satuan,Dinas PPKB dan P3A Kabupaten Wonogiri - Wonogiri (Kab.),Kecil,33 peserta,CV. SUKSES MANFAAT,https://spse.inaproc.id/wonogirikab/lelang/10048889000/pengumumanlelang
tender,10069987000,",Belanja Konstruksi RSUD Purwantoro SILPA DAU Bidang Kesehatan sub kegiatan Pembangunan Fasilitas Kesehatan Lainnya dinas kesehatan kabupaten wonogiri",9 Agustus 2025,Tender Sudah Selesai,Kab. Wonogiri,DINAS KESEHATAN,Pekerjaan Konstruksi,Tender - Pascakualifikasi Satu File - Harga Terendah Sistem Gugur,Tender ini tidak menggunakan Reverse Auction,APBD 2025,1010000000,1007027436,Harga Satuan,kecamatan purwantorodinas kesehatan kabupaten wonogiri - Wonogiri (Kab.),Kecil,59 peserta,cv. gaya tehnik,https://spse.inaproc.id/wonogirikab/lelang/10069987000/pengumumanlelang
tender,10068508000,Peningkatan Jalan Pijiharjo - Manyaran (Dana DIDF) Kecamatan Manyaran Kabupaten Wonogiri,6 Agustus 2025,Tender Sudah Selesai,Kab. Wonogiri,DINAS PEKERJAAN UMUM,Pekerjaan Konstruksi,Tender - Pascakualifikasi Satu File - Harga Terendah Sistem Gugur,Tender ini tidak menggunakan Reverse Auction,APBD 2025,3350000000,3221512000,Harga Satuan,"Ruas Jalan Pijiharjo - Manyaran, Kecamatan Manyaran, Kabupaten Wonogiri - Wonogiri (Kab.)",Kecil,62 peserta,CV. JATI MULYO,https://spse.inaproc.id/wonogirikab/lelang/10068508000/pengumumanlelang
