Kode,Nama Paket,K/L/PD/Instansi Lainnya,Satuan Kerja,Jenis Pengadaan,Metode Pengadaan,Tahun Anggaran,Nilai Pagu (dalam Rupiah),Nilai HPS (dalam Rupiah),Lokasi Pekerjaan,URL
10003281000,Belanja Jasa Tenaga Kebersihan RS (Cleaning Service) tahun 2025 Tender Batal,Kab. Sleman,Dinas Kesehatan,Jasa Lainnya,Tender - Pascakualifikasi Satu File - Harga Terendah Sistem Gugur,APBD 2025,3100000000,2938163079,Rumah Sakit Umum Daerah Sleman - Sleman (Kab.),https://spse.inaproc.id/slemankab/lelang/10003281000/pengumumanlelang
10017981000,Jasa Konsultansi Leger Jalan,Kab. Sleman,DINAS PEKERJAAN UMUM PERUMAHAN DAN KAWASAN PERMUKIMAN,Jasa Konsultansi Badan Usaha Konstruksi,Seleksi - Prakualifikasi Dua File - Kualitas dan Biaya,APBD 2025,529811050,529808550,Kabupaten Sleman - Sleman (Kab.),https://spse.inaproc.id/slemankab/lelang/10017981000/pengumumanlelang
10003398000,Belanja Jasa Tenaga Keamanan RS tahun 2025 Tender Batal,Kab. Sleman,Dinas Kesehatan,Jasa Lainnya,Tender - Pascakualifikasi Satu File - Harga Terendah Sistem Gugur,APBD 2025,1903000000,1718916528,Rumah Sakit Umum Daerah Sleman - Sleman (Kab.),https://spse.inaproc.id/slemankab/lelang/10003398000/pengumumanlelang
10032259000,Konsultan Pengawas pemeliharaan berkala Jalan Paket 2 Dayu-Krapyak,Kab. Sleman,DINAS PEKERJAAN UMUM PERUMAHAN DAN KAWASAN PERMUKIMAN,Jasa Konsultansi Badan Usaha Konstruksi,Seleksi - Prakualifikasi Dua File - Kualitas dan Biaya,APBD 2025,171707720,171491670,Kabupaten Sleman - Sleman (Kab.),https://spse.inaproc.id/slemankab/lelang/10032259000/pengumumanlelang
10012967000,Pengawasan Pembangunan RSUD Sleman Seleksi Batal,Kab. Sleman,DINAS PEKERJAAN UMUM PERUMAHAN DAN KAWASAN PERMUKIMAN,Jasa Konsultansi Badan Usaha Konstruksi,Seleksi - Prakualifikasi Dua File - Kualitas dan Biaya,APBD 2025,975000000,974998610,Kabupaten Sleman - Sleman (Kab.),https://spse.inaproc.id/slemankab/lelang/10012967000/pengumumanlelang
10065286000,Jasa Konsultansi Perencanaan Teknis Rehabilitasi/Pemeliharaan Berkala Jalan,Kab. Sleman,DINAS PEKERJAAN UMUM PERUMAHAN DAN KAWASAN PERMUKIMAN,Jasa Konsultansi Badan Usaha Konstruksi,Seleksi - Prakualifikasi Dua File - Kualitas dan Biaya,APBD 2025,130000250,129480390,Kabupaten Sleman - Sleman (Kab.),https://spse.inaproc.id/slemankab/lelang/10065286000/pengumumanlelang
10032270000,Pengadaan Kelengkapan Kontingen PORDA XVII 2025 Kabupaten Sleman,Komite Olah Raga Nasional Indonesia,KOMITE OLAHRAGA NASIONAL INDONESIA KAB SLEMAN,Pengadaan Barang,Tender - Pascakualifikasi Satu File - Harga Terendah Sistem Gugur,LAINNYA 2025,952000000,951902700,"Maguwoharjo, Depok, Sleman - Sleman (Kab.)",https://spse.inaproc.id/slemankab/lelang/10032270000/pengumumanlelang
10032245000,Pengadaan Seragam Kontingen PORDA XVII 2025 Kabupaten Sleman,Komite Olah Raga Nasional Indonesia,KOMITE OLAHRAGA NASIONAL INDONESIA KAB SLEMAN,Pengadaan Barang,Tender - Pascakualifikasi Satu File - Harga Terendah Sistem Gugur,LAINNYA 2025,609000000,608896050,"Maguwoharjo, Depok, Sleman - Sleman (Kab.)",https://spse.inaproc.id/slemankab/lelang/10032245000/pengumumanlelang
10003310000,Belanja Jasa Pencucian Pakaian & Linen RS tahun 2025,Kab. Sleman,Dinas Kesehatan,Jasa Lainnya,Tender - Pascakualifikasi Satu File - Harga Terendah Sistem Gugur,APBD 2025,1250000000,1216320000,Rumah Sakit Umum Daerah Sleman - Sleman (Kab.),https://spse.inaproc.id/slemankab/lelang/10003310000/pengumumanlelang
10003290000,Belanja Jasa Pengolahan Sampah/ Jasa Pemusnahan Sampah RS Tahun 2025,Kab. Sleman,Dinas Kesehatan,Jasa Lainnya,Tender - Pascakualifikasi Satu File - Harga Terendah Sistem Gugur,APBD 2025,350000000,342128640,Rumah Sakit Umum Daerah Sleman - Sleman (Kab.),https://spse.inaproc.id/slemankab/lelang/10003290000/pengumumanlelang
