Kode,NamaPaket,Instansi,SatuanKerja,Kategori,SistemPengadaan,TahunAnggaran,NilaiPagu,NilaiHPS,LokasiPekerjaan,SyaratKualifikasi,URL
10127933000,,,DINAS PEKERJAAN UMUM PERUMAHAN DAN KAWASAN PERMUKIMAN,,,APBD 2026,,,Kabupaten Sleman - Sleman (Kab.),,https://spse.inaproc.id/slemankab/lelang/10127933000/pengumumanlelang
10138061000,,,DINAS PEKERJAAN UMUM PERUMAHAN DAN KAWASAN PERMUKIMAN,,,APBD 2026,,,Kabupaten Sleman - Sleman (Kab.),,https://spse.inaproc.id/slemankab/lelang/10138061000/pengumumanlelang
10149663000,,,DINAS PEKERJAAN UMUM PERUMAHAN DAN KAWASAN PERMUKIMAN,,,APBD 2026,,,Kabupaten Sleman - Sleman (Kab.),,https://spse.inaproc.id/slemankab/lelang/10149663000/pengumumanlelang
10129886000,,,DINAS PEKERJAAN UMUM PERUMAHAN DAN KAWASAN PERMUKIMAN,,,APBD 2026,,,Kabupaten Sleman - Sleman (Kab.),,https://spse.inaproc.id/slemankab/lelang/10129886000/pengumumanlelang
10141430000,,,DINAS PEKERJAAN UMUM PERUMAHAN DAN KAWASAN PERMUKIMAN,,,APBD 2026,,,Kabupaten Sleman - Sleman (Kab.),,https://spse.inaproc.id/slemankab/lelang/10141430000/pengumumanlelang
10118061000,,,DINAS PEKERJAAN UMUM PERUMAHAN DAN KAWASAN PERMUKIMAN,,,APBD 2026,,,Kabupaten Sleman - Sleman (Kab.),,https://spse.inaproc.id/slemankab/lelang/10118061000/pengumumanlelang
10139039000,,,DINAS PEKERJAAN UMUM PERUMAHAN DAN KAWASAN PERMUKIMAN,,,APBD 2026,,,Kabupaten Sleman - Sleman (Kab.),,https://spse.inaproc.id/slemankab/lelang/10139039000/pengumumanlelang
10130545000,,,DINAS KESEHATAN,,,APBD 2026,,,Kabupaten Sleman - Sleman (Kab.),,https://spse.inaproc.id/slemankab/lelang/10130545000/pengumumanlelang
10116790000,,,DINAS PEKERJAAN UMUM PERUMAHAN DAN KAWASAN PERMUKIMAN,,,APBD 2026,,,Kabupaten Sleman - Sleman (Kab.),,https://spse.inaproc.id/slemankab/lelang/10116790000/pengumumanlelang
10116788000,,,DINAS PEKERJAAN UMUM PERUMAHAN DAN KAWASAN PERMUKIMAN,,,APBD 2026,,,Kabupaten Sleman - Sleman (Kab.),,https://spse.inaproc.id/slemankab/lelang/10116788000/pengumumanlelang
10116786000,,,DINAS PEKERJAAN UMUM PERUMAHAN DAN KAWASAN PERMUKIMAN,,,APBD 2026,,,Kabupaten Sleman - Sleman (Kab.),,https://spse.inaproc.id/slemankab/lelang/10116786000/pengumumanlelang
10116787000,,,DINAS PEKERJAAN UMUM PERUMAHAN DAN KAWASAN PERMUKIMAN,,,APBD 2026,,,Kabupaten Sleman - Sleman (Kab.),,https://spse.inaproc.id/slemankab/lelang/10116787000/pengumumanlelang
10116784000,,,DINAS PEKERJAAN UMUM PERUMAHAN DAN KAWASAN PERMUKIMAN,,,APBD 2026,,,Kabupaten Sleman - Sleman (Kab.),,https://spse.inaproc.id/slemankab/lelang/10116784000/pengumumanlelang
10116791000,,,DINAS PEKERJAAN UMUM PERUMAHAN DAN KAWASAN PERMUKIMAN,,,APBD 2026,,,Kabupaten Sleman - Sleman (Kab.),,https://spse.inaproc.id/slemankab/lelang/10116791000/pengumumanlelang
10116782000,,,DINAS PEKERJAAN UMUM PERUMAHAN DAN KAWASAN PERMUKIMAN,,,APBD 2026,,,Kabupaten Sleman - Sleman (Kab.),,https://spse.inaproc.id/slemankab/lelang/10116782000/pengumumanlelang
10116785000,,,DINAS PEKERJAAN UMUM PERUMAHAN DAN KAWASAN PERMUKIMAN,,,APBD 2026,,,Kabupaten Sleman - Sleman (Kab.),,https://spse.inaproc.id/slemankab/lelang/10116785000/pengumumanlelang
10131819000,,,DINAS PEKERJAAN UMUM PERUMAHAN DAN KAWASAN PERMUKIMAN,,,APBD 2026,,,Kabupaten Sleman - Sleman (Kab.),,https://spse.inaproc.id/slemankab/lelang/10131819000/pengumumanlelang
10116783000,,,DINAS PEKERJAAN UMUM PERUMAHAN DAN KAWASAN PERMUKIMAN,,,APBD 2026,,,Kabupaten Sleman - Sleman (Kab.),,https://spse.inaproc.id/slemankab/lelang/10116783000/pengumumanlelang
10137059000,,,DINAS PEKERJAAN UMUM PERUMAHAN DAN KAWASAN PERMUKIMAN,,,APBD 2026,,,Kabupaten Sleman - Sleman (Kab.),,https://spse.inaproc.id/slemankab/lelang/10137059000/pengumumanlelang
10139664000,,,DINAS PEKERJAAN UMUM PERUMAHAN DAN KAWASAN PERMUKIMAN,,,APBD 2026,,,Kabupaten Sleman - Sleman (Kab.),,https://spse.inaproc.id/slemankab/lelang/10139664000/pengumumanlelang
10139219000,,,BADAN KEUANGAN DAN ASET DAERAH,,,APBD 2026,,,BKAD Kabupaten Sleman - Sleman (Kab.),,https://spse.inaproc.id/slemankab/lelang/10139219000/pengumumanlelang
