kategori,nama,kode,kode_paket,nama_paket,tanggal_pembuatan,k/l/pd/instansi_lainnya,status,satuan_kerja,jenis_pengadaan,metode_pengadaan,khusus_orang_asli_papua_(oap),tahun_anggaran,nilai_pagu_(dalam_rupiah),nilai_hps_(dalam_rupiah),jenis_kontrak,lokasi_pekerjaan,jumlah_peserta,pemenang,pemenang_berkontrak,url
nontender,"BELANJA PEMELIHARAAN BANGUNAN GEDUNG KANTOR KELURAHAN GIRITIRTO, KEC WONOGIRI",10876699000,10876699000,"BELANJA PEMELIHARAAN BANGUNAN GEDUNG KANTOR KELURAHAN GIRITIRTO, KEC WONOGIRI",2026-05-21,Kab. Wonogiri,Paket Sudah Selesai,KECAMATAN WONOGIRI,Pekerjaan Konstruksi,Pengadaan Langsung,False,APBD 2026,23372189,23368700,Harga Satuan,Kecamatan Wonogiri - Wonogiri (Kab.),1,CV. DIGTA CONSTRUCTIONS,CV. DIGTA CONSTRUCTIONS,https://spse.inaproc.id/wonogirikab/nontender/10876699000/pengumumanpl
nontender,Jasa Konsultansi Perencanaan Ruas Jalan Tangkil - Malangsari Tahun Anggaran 2026 Paket Ulang Paket Gagal,10918462000,10918462000,Jasa Konsultansi Perencanaan Ruas Jalan Tangkil - Malangsari Tahun Anggaran 2026 Paket Ulang Paket Gagal,2026-06-22,Kab. Wonogiri,Paket Dibatalkan,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,Jasa Konsultansi Badan Usaha Konstruksi,Pengadaan Langsung,False,APBD 2026,100000000,99430000,Lumsum,Ruas Jalan Tangkil - Malangsari - Wonogiri (Kab.),1,,,https://spse.inaproc.id/wonogirikab/nontender/10918462000/pengumumanpl
nontender,"Belanja Jasa Konsultansi Pengawasan untuk Paket Pekerjaan Belanja Modal Bangunan Air Bersih, Reservoir Gunung Kusan Dan Reservoir Pondok (Pendukung SPAM Regional Wosusokas) Paket Gagal",10944772000,10944772000,"Belanja Jasa Konsultansi Pengawasan untuk Paket Pekerjaan Belanja Modal Bangunan Air Bersih, Reservoir Gunung Kusan Dan Reservoir Pondok (Pendukung SPAM Regional Wosusokas) Paket Gagal",2026-07-08,Kab. Wonogiri,Paket Dibatalkan,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,Jasa Konsultansi Badan Usaha Konstruksi,Pengadaan Langsung,False,APBD 2026,52000000,51992400,Waktu Penugasan,Kecamatan Wonogiri - Wonogiri (Kab.) Kecamatan Ngadirojo - Wonogiri (Kab.),1,,,https://spse.inaproc.id/wonogirikab/nontender/10944772000/pengumumanpl
nontender,"BELANJA PEMELIHARAAN BANGUNAN GEDUNG KANTOR KELURAHAN WONOBOYO, KEC WONOGIRI",10875658000,10875658000,"BELANJA PEMELIHARAAN BANGUNAN GEDUNG KANTOR KELURAHAN WONOBOYO, KEC WONOGIRI",2026-05-21,Kab. Wonogiri,Paket Sudah Selesai,KECAMATAN WONOGIRI,Pekerjaan Konstruksi,Pengadaan Langsung,False,APBD 2026,31672700,31665400,Harga Satuan,Kecamatan Wonogiri - Wonogiri (Kab.),1,CV. DIGTA CONSTRUCTIONS,CV. DIGTA CONSTRUCTIONS,https://spse.inaproc.id/wonogirikab/nontender/10875658000/pengumumanpl
nontender,Belanja Pemeliharaan Bangunan Gedung-Bangunan Gedung Tempat Kerja-Bangunan Gedung Kantor Sub Kegiatan Pemeliharaan Sarana dan Prasarana Pengujian Berkala Kendaraan Bermotor Dishub Wonogiri,10795629000,10795629000,Belanja Pemeliharaan Bangunan Gedung-Bangunan Gedung Tempat Kerja-Bangunan Gedung Kantor Sub Kegiatan Pemeliharaan Sarana dan Prasarana Pengujian Berkala Kendaraan Bermotor Dishub Wonogiri,2026-03-05,Kab. Wonogiri,Paket Sudah Selesai,DINAS PERHUBUNGAN,Pekerjaan Konstruksi,Pengadaan Langsung,False,APBD 2026,32190000,31645144,Harga Satuan,Dinas Perhubungan - Wonogiri (Kab.),1,FADIYA KENCANA,FADIYA KENCANA,https://spse.inaproc.id/wonogirikab/nontender/10795629000/pengumumanpl
nontender,"BELANJA PEMELIHARAAN BANGUNAN GEDUNG KANTOR KELURAHAN GIRIWONO, KEC WONOGIRI",10810657000,10810657000,"BELANJA PEMELIHARAAN BANGUNAN GEDUNG KANTOR KELURAHAN GIRIWONO, KEC WONOGIRI",2026-03-30,Kab. Wonogiri,Paket Sudah Selesai,KECAMATAN WONOGIRI,Pekerjaan Konstruksi,Pengadaan Langsung,False,APBD 2026,47046250,47039000,Harga Satuan,Kecamatan Wonogiri - Wonogiri (Kab.),1,CV. ATHA KINARYA,CV. ATHA KINARYA,https://spse.inaproc.id/wonogirikab/nontender/10810657000/pengumumanpl
nontender,"Jasa Konsultansi E-Paksi, Sub Kegiatan Penyusunan Dukungan Teknis Bidang Irigasi dan Rawa, DPU dan TARU Kab. Wonogiri",10872281000,10872281000,"Jasa Konsultansi E-Paksi, Sub Kegiatan Penyusunan Dukungan Teknis Bidang Irigasi dan Rawa, DPU dan TARU Kab. Wonogiri",2026-05-19,Kab. Wonogiri,Paket Sudah Selesai,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,Jasa Konsultansi Badan Usaha Konstruksi,Pengadaan Langsung,False,APBD 2026,80000000,79500000,Lumsum,"DI Karangroto, Desa/ Kel. Bulukerto, Kec. Bulukerto - Wonogiri (Kab.) DI Sari II, Desa/ Kel. Nguneng, Kec. Bulukerto - Wonogiri (Kab.) DI Posong, Desa/ Kel. Selorejo, Kec. Girimarto - Wonogiri (Kab.) DI Crabak, Desa/ Kel. Jatipurno, Kec. Jatipurno - Wonogiri (Kab.) DI Mantu, Desa/ Kel. Gondangsari, Kec. Jatisrono - Wonogiri (Kab.) DI Ploso III, Desa/ Kel. Kedunggupit, Kec. Sidoharjo - Wonogiri (Kab.) DI Watukeluh, Desa/ Kel. Randusari, Kec. Slogohimo - Wonogiri (Kab.) DI Cuwo, Desa/ Kel. Soco, Kec. Slogohimo - Wonogiri (Kab.) Di Pakis, Desa/ Kel. Kepatihan, Kec. Selogiri - Wonogiri (Kab.)",1,Praba Engineering Services Indonesia,Praba Engineering Services Indonesia,https://spse.inaproc.id/wonogirikab/nontender/10872281000/pengumumanpl
nontender,Jasa Konsultansi Pengawasan sub Kegiatan Pembangunan Jalan Paket 1 (APBD) Tahun 2026,10957163000,10957163000,Jasa Konsultansi Pengawasan sub Kegiatan Pembangunan Jalan Paket 1 (APBD) Tahun 2026,2026-07-14,Kab. Wonogiri,Paket Sudah Selesai,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,Jasa Konsultansi Badan Usaha Konstruksi,Pengadaan Langsung,False,APBD 2026,100000000,94930000,Waktu Penugasan,Dinas Pekerjaan Umum dan Penataan Ruang - Wonogiri (Kab.),1,CV. GLOBAL DISAIN,CV. GLOBAL DISAIN,https://spse.inaproc.id/wonogirikab/nontender/10957163000/pengumumanpl
nontender,"Belanja Jasa Konsultansi Pengawasan - Manajemen Konstruksi Pekerjaan Revitalisasi Pasar Slogohimo Sub Kegiatan Penyediaan Sarana Distribusi Perdagangan, Bidang Perdagangan, Dinas Perdagangan dan KUKM Kabupaten Wonogiri",10780173000,10780173000,"Belanja Jasa Konsultansi Pengawasan - Manajemen Konstruksi Pekerjaan Revitalisasi Pasar Slogohimo Sub Kegiatan Penyediaan Sarana Distribusi Perdagangan, Bidang Perdagangan, Dinas Perdagangan dan KUKM Kabupaten Wonogiri",2026-02-19,Kab. Wonogiri,Paket Sudah Selesai,"DINAS PERDAGANGAN DAN KOPERASI, USAHA KECIL DAN MENENGAH",Jasa Konsultansi Badan Usaha Konstruksi,Pengadaan Langsung,False,APBD 2026,90000000,89815650,Waktu Penugasan,"Pasar Slogohimo, Kecamatan Slogohimo - Wonogiri (Kab.)",1,HASTA KARYA LAKSANA,HASTA KARYA LAKSANA,https://spse.inaproc.id/wonogirikab/nontender/10780173000/pengumumanpl
nontender,Belanja Jasa Konsultansi Perencanaan Sub Kegiatan Rehabilitasi dan Pemeliharaan Terminal Tipe C (Fasilitas Utama dan Penunjang) Dishub Wonogiri Paket Ulang Paket Gagal,10788293000,10788293000,Belanja Jasa Konsultansi Perencanaan Sub Kegiatan Rehabilitasi dan Pemeliharaan Terminal Tipe C (Fasilitas Utama dan Penunjang) Dishub Wonogiri Paket Ulang Paket Gagal,2026-02-27,Kab. Wonogiri,Paket Dibatalkan,DINAS PERHUBUNGAN,Jasa Konsultansi Badan Usaha Konstruksi,Pengadaan Langsung,False,APBD 2026,30000000,29996000,Lumsum,Dinas Perhubungan - Wonogiri (Kab.),1,,,https://spse.inaproc.id/wonogirikab/nontender/10788293000/pengumumanpl
